Quarter,Tick,Barangay_ID,Barangay_Name,Total_Budget_PHP,LGU_Allocation_PHP,LGU_Share_Percent,Local_Base_PHP,IEC_Alloc_PHP,IEC_Percent,Enf_Alloc_PHP,Enf_Percent,Inc_Alloc_PHP,Inc_Percent,IEC_Intensity_Score,Enf_Intensity_Score,Incentive_Value_Per_Capita,Avg_Attitude,Avg_SocialNorm,Avg_PBC,Avg_Utility,Compliance_Rate,Active_Enforcers,Political_Capital
1,0,BGY_0,Brgy Liangan East,7537.44,37.44,0.01%,7500.00,762.50,10.1%,1887.51,25.0%,4887.44,64.8%,0.0019,0.0050,8.04,0.333,0.324,0.329,0.000,14.47%,0,1.0000
1,0,BGY_1,Brgy Ezperanza,22537.46,37.46,0.01%,22500.00,4512.53,20.0%,11262.49,50.0%,6762.43,30.0%,0.0121,0.0300,11.78,0.329,0.324,0.323,0.000,14.63%,2,1.0000
1,0,BGY_2,Brgy Poblacion,424775.41,374775.41,99.94%,50000.00,134792.47,31.7%,154950.28,36.5%,135032.66,31.8%,0.1352,0.4132,88.03,0.263,0.260,0.254,0.000,1.56%,23,1.0000
1,0,BGY_3,Brgy Binuni,31629.81,37.31,0.01%,31592.50,6330.93,20.0%,12649.42,40.0%,12649.45,40.0%,0.0192,0.0337,24.95,0.321,0.306,0.311,0.000,11.83%,1,1.0000
1,0,BGY_4,Brgy Demologan,5287.44,37.44,0.01%,5250.00,274.98,5.2%,4474.97,84.6%,537.49,10.2%,0.0009,0.0119,1.16,0.306,0.292,0.293,0.000,9.72%,1,1.0000
1,0,BGY_5,Brgy Mati,20037.46,37.46,0.01%,20000.00,4012.50,20.0%,6012.48,30.0%,10012.48,50.0%,0.0374,0.0160,60.68,0.309,0.294,0.301,0.000,9.09%,0,1.0000
1,0,BGY_6,Brgy Babalaya,3787.46,37.46,0.01%,3750.00,199.97,5.3%,3387.51,89.4%,199.98,5.3%,0.0018,0.0090,1.17,0.326,0.312,0.308,0.000,13.45%,1,1.0000
1,0,BGY_0,Brgy Liangan East,7537.44,37.44,0.01%,7500.00,762.50,10.1%,1887.51,25.0%,4887.44,64.8%,0.0019,0.0050,8.04,0.333,0.324,0.329,0.000,14.47%,1,1.0000
1,0,BGY_1,Brgy Ezperanza,22537.46,37.46,0.01%,22500.00,4512.53,20.0%,11262.49,50.0%,6762.43,30.0%,0.0121,0.0300,11.78,0.329,0.324,0.323,0.000,14.63%,1,1.0000
1,0,BGY_2,Brgy Poblacion,424775.41,374775.41,99.94%,50000.00,134792.47,31.7%,154950.28,36.5%,135032.66,31.8%,0.1352,0.4132,88.03,0.263,0.260,0.254,0.000,1.56%,22,1.0000
1,0,BGY_3,Brgy Binuni,31629.81,37.31,0.01%,31592.50,6330.93,20.0%,12649.42,40.0%,12649.45,40.0%,0.0192,0.0337,24.95,0.321,0.306,0.311,0.000,11.83%,2,1.0000
1,0,BGY_4,Brgy Demologan,5287.44,37.44,0.01%,5250.00,274.98,5.2%,4474.97,84.6%,537.49,10.2%,0.0009,0.0119,1.16,0.306,0.292,0.293,0.000,9.72%,1,1.0000
1,0,BGY_5,Brgy Mati,20037.46,37.46,0.01%,20000.00,4012.50,20.0%,6012.48,30.0%,10012.48,50.0%,0.0374,0.0160,60.68,0.309,0.294,0.301,0.000,9.09%,1,1.0000
1,0,BGY_6,Brgy Babalaya,3787.46,37.46,0.01%,3750.00,199.97,5.3%,3387.51,89.4%,199.98,5.3%,0.0018,0.0090,1.17,0.326,0.312,0.308,0.000,13.45%,0,1.0000
2,90,BGY_0,Brgy Liangan East,7525.80,25.80,0.01%,7500.00,758.61,10.1%,1883.58,25.0%,4883.61,64.9%,0.0019,0.0050,8.03,-0.004,0.006,0.329,-0.426,0.49%,0,1.0000
2,90,BGY_1,Brgy Ezperanza,22525.84,25.84,0.01%,22500.00,4508.62,20.0%,11258.63,50.0%,6758.59,30.0%,0.0121,0.0300,11.77,-0.003,0.231,0.323,-0.229,23.17%,2,1.0000
2,90,BGY_2,Brgy Poblacion,166402.78,116402.78,31.04%,50000.00,48807.43,29.3%,68782.87,41.3%,48812.48,29.3%,0.0489,0.1834,31.82,0.880,0.920,0.254,0.484,99.22%,10,1.0000
2,90,BGY_3,Brgy Binuni,31618.32,25.82,0.01%,31592.50,6327.12,20.0%,12645.58,40.0%,12645.63,40.0%,0.0192,0.0337,24.94,-0.001,0.462,0.311,-0.054,47.34%,2,1.0000
2,90,BGY_4,Brgy Demologan,263718.00,258468.00,68.92%,5250.00,86604.72,32.8%,90444.02,34.3%,86669.27,32.9%,0.2878,0.2412,187.19,-0.003,0.006,0.293,-0.476,0.00%,13,1.0000
2,90,BGY_5,Brgy Mati,20025.88,25.88,0.01%,20000.00,4008.61,20.0%,6008.64,30.0%,10008.62,50.0%,0.0374,0.0160,60.66,-0.003,0.008,0.301,-0.449,0.00%,1,1.0000
2,90,BGY_6,Brgy Babalaya,3775.84,25.84,0.01%,3750.00,196.11,5.2%,3383.61,89.6%,196.11,5.2%,0.0018,0.0090,1.15,-0.000,0.295,0.308,-0.136,32.16%,1,1.0000
3,180,BGY_0,Brgy Liangan East,249454.50,241954.50,64.52%,7500.00,81319.26,32.6%,82589.16,33.1%,85546.09,34.3%,0.2058,0.2202,140.70,-0.003,0.003,0.329,-0.426,0.00%,12,1.0000
3,180,BGY_1,Brgy Ezperanza,22524.19,24.19,0.01%,22500.00,4508.07,20.0%,11258.11,50.0%,6758.01,30.0%,0.0121,0.0300,11.77,-0.004,0.193,0.323,-0.262,18.47%,2,1.0000
3,180,BGY_2,Brgy Poblacion,158772.56,108772.56,29.01%,50000.00,46272.36,29.1%,66338.73,41.8%,46161.47,29.1%,0.0464,0.1769,30.09,0.883,0.920,0.254,0.375,98.70%,10,1.0000
3,180,BGY_3,Brgy Binuni,31616.66,24.16,0.01%,31592.50,6326.57,20.0%,12645.03,40.0%,12645.07,40.0%,0.0192,0.0337,24.94,-0.002,0.457,0.311,-0.063,46.94%,2,1.0000
3,180,BGY_4,Brgy Demologan,29426.08,24176.08,6.45%,5250.00,8339.95,28.3%,12502.84,42.5%,8583.29,29.2%,0.0277,0.0333,18.54,0.899,0.913,0.293,0.830,99.35%,2,1.0000
3,180,BGY_5,Brgy Mati,20024.25,24.25,0.01%,20000.00,4008.09,20.0%,6008.09,30.0%,10008.07,50.0%,0.0374,0.0160,60.65,-0.008,0.008,0.301,-0.464,0.00%,1,1.0000
3,180,BGY_6,Brgy Babalaya,3774.18,24.18,0.01%,3750.00,195.56,5.2%,3383.08,89.6%,195.53,5.2%,0.0018,0.0090,1.14,-0.006,0.273,0.308,-0.185,29.82%,0,1.0000
4,270,BGY_0,Brgy Liangan East,30203.54,22703.54,6.05%,7500.00,8335.44,27.6%,9431.93,31.2%,12436.17,41.2%,0.0211,0.0252,20.45,0.742,0.916,0.329,0.761,98.52%,2,1.0000
4,270,BGY_1,Brgy Ezperanza,22522.76,22.76,0.01%,22500.00,4507.60,20.0%,11257.62,50.0%,6757.54,30.0%,0.0121,0.0300,11.77,-0.004,0.181,0.323,-0.267,17.60%,2,1.0000
4,270,BGY_2,Brgy Poblacion,152089.14,102089.14,27.22%,50000.00,43973.11,28.9%,64135.62,42.2%,43980.41,28.9%,0.0441,0.1710,28.67,0.884,0.920,0.254,0.370,98.70%,9,1.0000
4,270,BGY_3,Brgy Binuni,31615.15,22.65,0.01%,31592.50,6326.06,20.0%,12644.52,40.0%,12644.57,40.0%,0.0192,0.0337,24.94,-0.002,0.455,0.311,-0.066,46.55%,2,1.0000
4,270,BGY_4,Brgy Demologan,27991.88,22741.88,6.06%,5250.00,7864.63,28.1%,12019.57,42.9%,8107.68,29.0%,0.0261,0.0321,17.51,0.794,0.912,0.293,0.574,98.27%,2,1.0000
4,270,BGY_5,Brgy Mati,247397.34,227397.34,60.64%,20000.00,79736.49,32.2%,82004.45,33.1%,85656.41,34.6%,0.7435,0.2187,519.13,-0.008,0.008,0.301,-0.468,0.00%,11,1.0000
4,270,BGY_6,Brgy Babalaya,3772.71,22.71,0.01%,3750.00,195.06,5.2%,3382.60,89.7%,195.05,5.2%,0.0018,0.0090,1.14,-0.001,0.308,0.308,-0.134,33.33%,1,1.0000
5,360,BGY_0,Brgy Liangan East,28927.81,21427.81,5.71%,7500.00,7915.53,27.4%,9028.92,31.2%,11983.37,41.4%,0.0200,0.0241,19.71,0.787,0.915,0.329,0.666,98.68%,1,1.0000
5,360,BGY_1,Brgy Ezperanza,236989.23,214489.23,57.20%,22500.00,76222.05,32.2%,83013.16,35.0%,77754.02,32.8%,0.2043,0.2214,135.46,-0.004,0.193,0.323,-0.261,18.64%,12,1.0000
5,360,BGY_2,Brgy Poblacion,146173.03,96173.03,25.65%,50000.00,41998.55,28.7%,62099.27,42.5%,42075.22,28.8%,0.0421,0.1656,27.43,0.882,0.920,0.254,0.367,99.02%,8,1.0000
5,360,BGY_3,Brgy Binuni,31613.84,21.34,0.01%,31592.50,6325.62,20.0%,12644.09,40.0%,12644.13,40.0%,0.0192,0.0337,24.94,-0.001,0.455,0.311,-0.060,47.14%,2,1.0000
5,360,BGY_4,Brgy Demologan,26687.86,21437.86,5.72%,5250.00,7446.95,27.9%,11576.36,43.4%,7664.55,28.7%,0.0247,0.0309,16.55,0.793,0.911,0.293,0.574,97.84%,1,1.0000
5,360,BGY_5,Brgy Mati,41429.25,21429.25,5.71%,20000.00,11133.45,26.9%,13154.40,31.8%,17141.40,41.4%,0.1038,0.0351,103.89,0.950,0.699,0.301,0.890,100.00%,2,1.0000
5,360,BGY_6,Brgy Babalaya,3771.41,21.41,0.01%,3750.00,194.64,5.2%,3382.16,89.7%,194.61,5.2%,0.0018,0.0090,1.14,-0.003,0.262,0.308,-0.180,28.65%,1,1.0000
6,450,BGY_0,Brgy Liangan East,27787.62,20287.62,5.41%,7500.00,7548.19,27.2%,8641.71,31.1%,11597.72,41.7%,0.0191,0.0230,19.08,0.792,0.915,0.329,0.670,98.68%,1,1.0000
6,450,BGY_1,Brgy Ezperanza,42835.23,20335.23,5.42%,22500.00,11303.53,26.4%,18026.57,42.1%,13505.13,31.5%,0.0303,0.0481,23.53,0.840,0.918,0.323,0.720,98.95%,3,1.0000
6,450,BGY_2,Brgy Poblacion,140997.91,90997.91,24.27%,50000.00,40249.27,28.5%,60412.79,42.8%,40335.84,28.6%,0.0404,0.1611,26.29,0.881,0.920,0.254,0.363,98.63%,9,1.0000
6,450,BGY_3,Brgy Binuni,31612.69,20.19,0.01%,31592.50,6325.24,20.0%,12643.69,40.0%,12643.76,40.0%,0.0192,0.0337,24.94,-0.004,0.455,0.311,-0.075,46.15%,2,1.0000
