Quarter,Barangay,Local_Base_Budget_PHP,Local_IEC_PHP,Local_IEC_%,Local_Enf_PHP,Local_Enf_%,Local_Inc_PHP,Local_Inc_%,Local_Tanods_Active,Local_Compliance
1,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,14.47%
1,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,14.63%
1,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,1.56%
1,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,11.83%
1,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,9.72%
1,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,9.09%
1,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,13.45%
2,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
2,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.70%
2,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,0.13%
2,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,95.46%
2,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,3.46%
2,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,0.61%
2,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,93.57%
3,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
3,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
3,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,0.07%
3,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,92.70%
3,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,0.00%
3,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,0.00%
3,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,87.13%
4,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
4,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
4,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,0.07%
4,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,94.87%
4,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,0.00%
4,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,0.00%
4,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,88.89%
5,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
5,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
5,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,0.13%
5,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,92.11%
5,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,0.22%
5,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,0.00%
5,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,86.55%
6,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
6,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
6,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,0.13%
6,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,93.89%
6,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,0.00%
6,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,0.00%
6,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,85.38%
7,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
7,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
7,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,0.07%
7,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,92.90%
7,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,0.00%
7,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,0.00%
7,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,88.89%
8,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
8,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
8,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,0.07%
8,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,94.28%
8,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,0.00%
8,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,0.00%
8,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,90.64%
9,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
9,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
9,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,0.07%
9,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,94.08%
9,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,0.00%
9,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,0.00%
9,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,85.96%
10,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
10,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
10,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,0.13%
10,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,96.06%
10,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,0.00%
10,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,0.00%
10,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,90.64%
11,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
11,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
11,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,0.07%
11,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,92.11%
11,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,0.00%
11,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,0.00%
11,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,89.47%
12,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
12,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
12,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,0.07%
12,Brgy Binuni,31592.50,6318.50,20.0%,12637.00,40.0%,12637.00,40.0%,0,92.11%
12,Brgy Demologan,5250.00,262.50,5.0%,4462.50,85.0%,525.00,10.0%,0,0.22%
12,Brgy Mati,20000.00,4000.00,20.0%,6000.00,30.0%,10000.00,50.0%,0,0.00%
12,Brgy Babalaya,3750.00,187.50,5.0%,3375.00,90.0%,187.50,5.0%,0,90.06%
13,Brgy Liangan East,7500.00,750.00,10.0%,1875.00,25.0%,4875.00,65.0%,0,0.00%
13,Brgy Ezperanza,22500.00,4500.00,20.0%,11250.00,50.0%,6750.00,30.0%,0,0.00%
13,Brgy Poblacion,50000.00,10000.00,20.0%,30000.00,60.0%,10000.00,20.0%,1,0.13%
