Quarter,Tick,Barangay_ID,Barangay_Name,Total_Budget_PHP,LGU_Allocation_PHP,LGU_Share_Percent,Local_Base_PHP,IEC_Alloc_PHP,IEC_Percent,Enf_Alloc_PHP,Enf_Percent,Inc_Alloc_PHP,Inc_Percent,IEC_Intensity_Score,Enf_Intensity_Score,Incentive_Value_Per_Capita,Avg_Attitude,Avg_SocialNorm,Avg_PBC,Avg_Utility,Compliance_Rate,Active_Enforcers,Political_Capital
1,0,BGY_0,Brgy Liangan East,61071.43,53571.43,14.29%,7500.00,55071.43,90.2%,3750.00,6.1%,2250.00,3.7%,0.0167,0.5000,500.00,0.950,0.729,0.324,0.000,14.80%,0,1.0000
1,0,BGY_1,Brgy Ezperanza,76071.43,53571.43,14.29%,22500.00,58071.43,76.3%,11250.00,14.8%,6750.00,8.9%,0.0500,0.5000,500.00,0.950,0.747,0.327,0.000,15.68%,0,1.0000
1,0,BGY_2,Brgy Poblacion,103571.43,53571.43,14.29%,50000.00,63571.43,61.4%,25000.00,24.1%,15000.00,14.5%,0.1111,0.5000,500.00,0.603,0.433,0.259,0.000,1.76%,0,1.0000
1,0,BGY_3,Brgy Binuni,85163.93,53571.43,14.29%,31592.50,59889.93,70.3%,15796.25,18.5%,9477.75,11.1%,0.0667,0.5000,500.00,0.950,0.801,0.321,0.000,14.60%,0,1.0000
1,0,BGY_4,Brgy Demologan,58821.43,53571.43,14.29%,5250.00,54621.43,92.9%,2625.00,4.5%,1575.00,2.7%,0.0111,0.5000,500.00,0.950,0.846,0.308,0.000,11.45%,0,1.0000
1,0,BGY_5,Brgy Mati,73571.43,53571.43,14.29%,20000.00,57571.43,78.3%,10000.00,13.6%,6000.00,8.2%,0.0444,0.5000,500.00,0.950,0.950,0.296,0.000,10.91%,0,1.0000
1,0,BGY_6,Brgy Babalaya,57321.43,53571.43,14.29%,3750.00,54321.43,94.8%,1875.00,3.3%,1125.00,2.0%,0.0056,0.5000,500.00,0.950,0.950,0.318,0.000,14.04%,0,1.0000
2,0,BGY_0,Brgy Liangan East,61071.43,53571.43,14.29%,7500.00,54321.43,88.9%,1875.00,3.1%,4875.00,8.0%,0.0056,0.0000,500.00,0.846,0.441,0.324,-0.596,0.00%,0,1.0000
2,0,BGY_1,Brgy Ezperanza,76071.43,53571.43,14.29%,22500.00,58071.43,76.3%,11250.00,14.8%,6750.00,8.9%,0.0500,0.0000,500.00,0.918,0.467,0.327,-0.572,0.00%,0,1.0000
2,0,BGY_2,Brgy Poblacion,103571.43,53571.43,14.29%,50000.00,63571.43,61.4%,30000.00,29.0%,10000.00,9.7%,0.1111,0.0000,500.00,0.319,0.175,0.259,-0.704,0.00%,1,1.0000
